,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,cluster,CLUSTER
0,-0.137339951727025,-0.0318029862317948,-0.1486882237456069,-0.3502945709630214,-0.00019011102907635913,-0.10436868172224306,0.3682781468722782,0.17107763326945644,-0.179441530160465,-0.20464624161281847,0,2,2,2,0,0,2,2,0,2,4,4
1,-0.09686623453664993,0.13173864256389178,0.4164038470143807,-0.21186913944594887,0.04195820835434205,-0.0403202602969992,-0.126100518151365,0.41778029101623404,-0.5257519037347284,0.11421382750552353,0,2,0,0,2,2,2,1,2,1,4,4
2,-0.015503133567168911,0.2382808476632376,-0.5695439920372938,0.22287989519536344,0.22654909058106476,-0.14084640970529846,-0.046859592127707905,0.12737716976027305,-0.13551812449854622,-0.4131697740177848,0,2,1,1,2,0,1,2,0,1,-1,-1
3,-0.18326058105366114,-0.02576003233493683,0.0872101223596628,-0.14769336200429567,-0.19734742202454642,0.11519590675179738,0.13080669590318508,0.27371094080976094,0.04530303952220611,-0.06329706682935053,2,1,0,2,1,0,2,2,2,1,5,5
4,-0.08529538206560752,0.24578798350075087,-0.09383920950242328,0.1252731127271136,-0.20279904379415284,-0.30900358426575625,0.260794996551577,0.13413214078016927,0.47251294555352774,-0.18419803449949082,2,0,2,0,1,1,1,1,1,1,5,5
5,0.1360969370371903,-0.10131256727169133,0.10754193078730406,-0.284742300490817,-0.19854930399737267,-0.25373719727834143,0.0886778139597345,-0.30670576914134773,0.2437572415387585,-0.26443788372393706,2,0,2,0,0,2,0,1,1,2,5,5
6,-0.32409887394394793,-0.08949361146398609,-0.5127763701748735,-0.13280085241248998,-0.05693010814090288,-0.01619815367365257,0.12064895149905187,0.3060524597489507,-0.008513887229528838,0.07368396361796466,0,1,2,2,1,0,0,2,0,2,-1,-1
7,-0.0023746998340627365,0.27731077323992215,-0.15874407189691497,-0.1835088179389948,-0.14707830913293315,-0.24236248075907943,0.2162439993060007,-0.15165276683252804,0.22802880977554044,0.04497501034442111,2,1,2,2,0,0,0,2,0,1,5,5
8,-0.25511710619298533,0.061015129997012765,-0.18008492764638884,-0.23538102791790877,-0.15599093421387117,0.1212912140773778,-0.08973475263411539,-0.029284907718315573,0.17093393906690268,-0.2573586683890629,2,0,0,0,1,1,0,1,0,2,5,5
9,-0.016235186158196996,-0.2722180866688148,-0.10553463610618745,-0.03566183912299223,-0.3642412493832362,-0.33583682457467934,0.11120209607452228,0.14580400256141388,0.22059537950114677,-0.27667277079961483,1,0,1,0,0,1,0,2,0,1,5,5
10,-0.09961636444765302,-0.019393343092929463,-0.26093289642242146,-0.024489760764690657,-0.22778160984618268,-0.032929407897258636,0.08694463309212547,0.1679598204629048,0.014372065227621376,0.04441396552517521,0,0,2,2,0,0,2,2,0,1,5,5
11,-0.10673140317913836,0.3568500978160014,0.1073882706810832,-0.0811176737149771,-0.0758670995103976,-0.14074416524840513,-0.02874144735173051,0.08096621364233023,-0.35075735110079365,0.25791884472909643,1,2,1,1,1,2,2,0,0,0,4,4
