,0,1,2,3,4,5,6,7,8,9,cluster,CLUSTER
0,-0.3272289689795704,0.36388010643137075,-0.34323408428850916,0.4370078758643755,-0.34497544129298957,0,2,2,1,2,0,0
1,-0.41402499670114024,-0.10495079597027843,0.08310761934867737,0.3339057934886571,0.2142714199051998,2,2,0,0,1,0,0
2,-0.2921464113261908,0.10282489323882488,-0.2868818180086257,0.27613801780636815,-0.0742844663859734,2,2,0,2,0,-1,-1
3,-0.1307667265958546,-0.049166151207827906,-0.13057901848639047,-0.3398698254087785,-0.16347099466482712,2,0,2,1,1,-1,-1
4,-0.3184545783207616,-0.3236909264853104,-0.2856186885173235,0.04893566245769393,0.1420711118894285,1,2,1,2,2,-1,-1
5,-0.18855339570775864,0.3507108186287615,-0.12279579521453257,0.15051631370283192,-0.05058939747289393,2,1,1,2,0,-1,-1
6,-0.356279705961363,-0.10655465331083232,0.16321884353613442,-0.1985210975929226,-0.17938101357717762,2,0,2,2,0,-1,-1
7,0.25221063477332695,-0.2591312937472202,0.17301782123677856,-0.07622959099738152,0.0871053236682992,1,0,1,1,1,-1,-1
8,-0.29984482413626784,0.3631037811202696,-0.373819654296772,0.18947859706365855,-0.3741405472543134,0,1,2,0,2,0,0
9,-0.4133011672779467,-0.20901550716397008,-0.3229725921004486,0.28581862059190727,0.39049290484602656,2,2,2,2,2,-1,-1
10,-0.270033034819347,0.043645152334448926,0.14821892345288223,0.09878051414972244,0.468046437218916,2,2,1,0,1,-1,-1
11,-0.33860937147060516,0.4476377042592863,-0.22950651634741545,0.22523469235486887,-0.28114778527457385,0,2,2,0,2,0,0
12,-0.20469501933045658,0.3185681120788837,-0.22830782469263833,-0.07469833160036393,-0.028126809792372823,1,1,1,1,2,-1,-1
13,-0.3650117847392366,0.16740723449103606,-0.16909530208673265,0.1693709581101334,0.07256360145678278,1,1,0,2,0,-1,-1
14,0.1915424437901423,-0.33947293299575326,0.353423769156812,-0.1246267957368204,0.030923896210147357,1,0,1,1,0,-1,-1
15,-0.404093447715484,0.33076093829691305,-0.43537990833519424,0.253024723322634,-0.457318168983241,0,2,2,0,2,0,0
16,-0.27234393083783,0.027520540596768294,0.16776154669902538,-0.19923075377896665,-0.20046317837332497,2,0,1,2,0,-1,-1
17,-0.3052412539738007,0.20065087366724843,-0.15124523519688055,0.33677376240328044,-0.2976134390260568,0,1,2,0,2,0,0
18,-0.25281608102795716,0.21890028541265238,-0.23414646060874592,-0.007424131632921029,0.11353128667712394,1,2,0,1,1,-1,-1
19,-0.17801559160672245,0.24087149053227125,-0.08096163987745951,-0.1335200363547341,0.15954924516130362,1,2,1,1,1,-1,-1
20,-0.2128886879888664,0.3582904808941912,-0.10848165254527728,0.2755805821029495,-0.4096723889596043,0,2,2,0,1,0,0
21,-0.3867811047505057,-0.12541086434029505,-0.2734953730519575,-0.04758885267897022,0.08195040297276432,1,1,2,1,2,-1,-1
22,0.09046582291404262,0.26970592449177455,0.22316755418085077,0.2820215815549996,0.09228663262039788,0,1,0,2,0,0,0
23,-0.2345954924884735,0.3110596253686406,-0.06216522655504162,0.061494303268569236,0.43159173307583765,0,1,0,0,2,0,0
24,-0.4653961325163804,0.155304714431593,-0.10108257694986585,0.12978450059156357,0.33185500520612954,1,2,0,1,2,0,0
25,0.1540725925525411,0.4136194975312616,0.439104658022344,0.30025394710695386,0.09296607754243623,0,0,1,1,0,0,0
26,0.13857132484081802,-0.3730234254284094,0.13533057775120177,-0.07837389167054121,0.038686350658548106,0,0,1,0,0,0,0
27,0.2224514442594267,0.36865478970833876,0.28349891377803,0.3461419084352755,0.07750183013410841,0,1,1,2,0,-1,-1
28,-0.2761620706415119,0.5564893994222462,-0.11347399352455605,0.2484691332929201,-0.26644742211167993,0,2,2,0,1,0,0
